Title,Publication Year,Author,Genre,Average Rating,Number of Ratings,Number of Pages,Language,Currently Reading,Want to Read,Rank
Interior Chinatown,2020,Charles Yu,Fiction,3.96,62944,288.0,English,5460.0,90900.0,192
Inheritors,2020,Asako Serizawa,Fiction,3.77,1057,288.0,English,135.0,7881.0,193
Upright Women Wanted,2020,Sarah Gailey,Fiction,3.61,22010,176.0,English,657.0,33600.0,194
Hollowpox: The Hunt for Morrigan Crow,2020,Jessica Townsend,Fantasy,4.48,25341,471.0,English,1013.0,15900.0,195
When Time Stopped: A Memoir of My Father's War and What Remains,2020,Ariana Neumann,Nonfiction,4.33,7056,336.0,English,1626.0,27900.0,196
Bitter Falls,2020,Rachel Caine,Thriller,4.28,26737,332.0,English,5812.0,16800.0,197
Epic,2020,Sarina Bowen,Romance,4.26,16718,78.0,English,444.0,8448.0,198
Sweet Temptation,2020,Cora Reilly,Romance,3.99,75071,292.0,English,5261.0,54400.0,199
Devolution: A Firsthand Account of the Rainier Sasquatch Massacre,2020,Max Brooks,Horror,3.91,51686,286.0,English,3298.0,62200.0,200
All the Devils Are Here,2020,Louise Penny,Mystery,4.43,74802,439.0,English,12500.0,29600.0,201
Kiss My Cupcake,2020,Helena Hunting,Romance,3.86,19373,368.0,English,901.0,25100.0,202
When These Mountains Burn,2020,David Joy,Fiction,4.07,3832,272.0,English,253.0,10500.0,203
More Myself: A Journey,2020,Alicia Keys,Memoir,4.15,17985,272.0,English,1535.0,19700.0,204
Utopia Avenue,2020,David Mitchell,Fiction,4.0,25117,574.0,English,2883.0,54800.0,205
"Girl, Serpent, Thorn",2020,Melissa Bashardoust,Fantasy,3.65,39739,322.0,English,1915.0,132000.0,206
Riot House,2020,Callie Hart,Romance,3.88,24129,465.0,English,6068.0,7039.0,207
You Should See Me in a Crown,2020,Leah Johnson,Young Adult,4.08,42282,336.0,English,1039.0,78700.0,208
Broken Fae,2020,Caroline Peckham,Fantasy,4.39,40193,672.0,English,4824.0,22200.0,209
